measurement_id,instrument,operator,ref_value,instrument_offset,instrument_error,operator_offset,operator_error,measurement
1,instrument_4,operator_2,50,0,5,0,5,43.68847080792058
2,instrument_1,operator_1,50,0,5,0,5,43.6716556404258
3,instrument_5,operator_1,50,0,5,0,5,58.56174747440202
4,instrument_5,operator_3,50,0,5,0,10,56.13559028058322
5,instrument_4,operator_3,50,0,5,0,10,31.58337291401423
6,instrument_1,operator_2,50,0,5,0,5,57.99736435142293
7,instrument_5,operator_3,50,0,5,0,10,60.88305119375637
8,instrument_3,operator_3,50,0,5,0,10,46.62206757371773
9,instrument_3,operator_3,50,0,5,0,10,61.00878392713339
10,instrument_4,operator_2,50,0,5,0,5,52.00551050792179
11,instrument_2,operator_2,50,0,5,0,5,50.80460858507823
12,instrument_1,operator_1,50,0,5,0,5,40.61417649975519
13,instrument_2,operator_3,50,0,5,0,10,61.565171955195055
14,instrument_1,operator_3,50,0,5,0,10,35.019434742959746
15,instrument_1,operator_1,50,0,5,0,5,57.801216724641286
16,instrument_3,operator_1,50,0,5,0,5,46.297092282965274
17,instrument_3,operator_1,50,0,5,0,5,39.80147302825372
18,instrument_1,operator_1,50,0,5,0,5,53.53455467968972
19,instrument_4,operator_3,50,0,5,0,10,26.2874781741472
20,instrument_4,operator_3,50,0,5,0,10,50.90434738738682
21,instrument_2,operator_3,50,0,5,0,10,57.48925467802269
22,instrument_3,operator_1,50,0,5,0,5,63.06024363222495
23,instrument_1,operator_1,50,0,5,0,5,43.75892275950553
24,instrument_3,operator_1,50,0,5,0,5,57.60748521487962
25,instrument_5,operator_2,50,0,5,0,5,53.40807277115686
26,instrument_5,operator_2,50,0,5,0,5,56.99558957468113
27,instrument_1,operator_3,50,0,5,0,10,58.6191262172179
28,instrument_3,operator_1,50,0,5,0,5,48.86897835047333
29,instrument_1,operator_3,50,0,5,0,10,64.31421649545194
30,instrument_4,operator_3,50,0,5,0,10,49.27999734619589
31,instrument_3,operator_1,50,0,5,0,5,54.09935937943635
32,instrument_4,operator_1,50,0,5,0,5,53.28006016959728
33,instrument_4,operator_3,50,0,5,0,10,40.13457879049993
34,instrument_3,operator_2,50,0,5,0,5,47.28493979023754
35,instrument_1,operator_2,50,0,5,0,5,57.42756931721992
36,instrument_2,operator_1,50,0,5,0,5,47.249642854743065
37,instrument_1,operator_2,50,0,5,0,5,61.078157431760225
38,instrument_3,operator_3,50,0,5,0,10,43.795510826320985
39,instrument_5,operator_1,50,0,5,0,5,58.4485281411815
40,instrument_2,operator_2,50,0,5,0,5,51.01498487426053
41,instrument_4,operator_3,50,0,5,0,10,53.235395662163846
