measurement_id,instrument,operator,ref_value,instrument_offset,instrument_error,operator_offset,operator_error,measurement
1,instrument_4,operator_1,50,0,5,0,5,44.08010868675923
2,instrument_1,operator_3,50,0,5,0,5,39.74405961917122
3,instrument_1,operator_3,50,0,5,0,5,46.34144173576037
4,instrument_1,operator_2,50,0,5,0,5,36.692511501648895
5,instrument_4,operator_1,50,0,5,0,5,60.67150876255905
6,instrument_4,operator_3,50,0,5,0,5,53.8126923401558
7,instrument_3,operator_2,50,0,5,0,5,59.224863191749876
8,instrument_5,operator_3,50,2,6,0,5,67.24723046297447
9,instrument_5,operator_3,50,2,6,0,5,51.39521678959647
10,instrument_1,operator_2,50,0,5,0,5,45.929679072542434
11,instrument_4,operator_2,50,0,5,0,5,48.58926769768518
12,instrument_4,operator_3,50,0,5,0,5,45.18010636003504
13,instrument_4,operator_2,50,0,5,0,5,40.164257152988455
14,instrument_2,operator_2,50,0,5,0,5,57.17534960368533
15,instrument_1,operator_3,50,0,5,0,5,51.65113672927677
16,instrument_3,operator_1,50,0,5,0,5,35.746875419211094
17,instrument_3,operator_1,50,0,5,0,5,46.57414309471085
18,instrument_4,operator_2,50,0,5,0,5,36.99259439138054
19,instrument_2,operator_2,50,0,5,0,5,51.689828838307776
20,instrument_4,operator_1,50,0,5,0,5,44.31600792236144
21,instrument_5,operator_2,50,2,6,0,5,69.15804606474998
22,instrument_5,operator_3,50,2,6,0,5,62.85536620796669
23,instrument_4,operator_3,50,0,5,0,5,46.2986643274849
24,instrument_2,operator_2,50,0,5,0,5,42.55426706475387
25,instrument_4,operator_3,50,0,5,0,5,47.76010553146817
26,instrument_3,operator_1,50,0,5,0,5,47.698894595792694
27,instrument_4,operator_1,50,0,5,0,5,50.6169167441815
28,instrument_1,operator_3,50,0,5,0,5,47.45919278740754
29,instrument_4,operator_2,50,0,5,0,5,53.727581977369844
30,instrument_1,operator_3,50,0,5,0,5,48.034603020093705
31,instrument_2,operator_1,50,0,5,0,5,52.548805964577426
32,instrument_4,operator_1,50,0,5,0,5,45.8297029602345
33,instrument_1,operator_3,50,0,5,0,5,48.74145220034491
34,instrument_4,operator_2,50,0,5,0,5,39.197926800677024
35,instrument_1,operator_2,50,0,5,0,5,50.19840935653127
36,instrument_1,operator_2,50,0,5,0,5,59.173790998006446
37,instrument_1,operator_3,50,0,5,0,5,57.85608975776382
38,instrument_1,operator_1,50,0,5,0,5,47.574852493108814
39,instrument_5,operator_2,50,2,6,0,5,51.96133029451774
40,instrument_2,operator_3,50,0,5,0,5,44.525446303033625
41,instrument_5,operator_1,50,2,6,0,5,52.24061368301633
42,instrument_3,operator_1,50,0,5,0,5,43.04074120673115
43,instrument_2,operator_3,50,0,5,0,5,42.49528686567629
44,instrument_3,operator_1,50,0,5,0,5,66.0365120350011
45,instrument_1,operator_1,50,0,5,0,5,46.60824209791517
46,instrument_3,operator_3,50,0,5,0,5,45.95984860387011
47,instrument_2,operator_1,50,0,5,0,5,51.90768028936729
48,instrument_1,operator_2,50,0,5,0,5,45.50301147873339
49,instrument_3,operator_3,50,0,5,0,5,53.44045873572634
50,instrument_2,operator_1,50,0,5,0,5,49.51703635761186
51,instrument_3,operator_2,50,0,5,0,5,42.63721953892199
52,instrument_5,operator_1,50,2,6,0,5,51.25904530798812
53,instrument_3,operator_2,50,0,5,0,5,46.226928741089615
54,instrument_3,operator_1,50,0,5,0,5,57.10014416925401
55,instrument_1,operator_3,50,0,5,0,5,52.23903681207901
56,instrument_3,operator_3,50,0,5,0,5,57.455248076270756
57,instrument_1,operator_3,50,0,5,0,5,53.00448686818744
58,instrument_2,operator_2,50,0,5,0,5,65.78918202347818
59,instrument_1,operator_1,50,0,5,0,5,48.116894841834146
60,instrument_2,operator_3,50,0,5,0,5,62.29006793835111
61,instrument_2,operator_3,50,0,5,0,5,47.42358322792654
62,instrument_1,operator_2,50,0,5,0,5,49.41478348125735
63,instrument_2,operator_2,50,0,5,0,5,55.962729596397885
64,instrument_5,operator_1,50,2,6,0,5,50.768243564658
65,instrument_5,operator_1,50,2,6,0,5,46.510068731079826
66,instrument_2,operator_2,50,0,5,0,5,54.60502820504768
67,instrument_2,operator_2,50,0,5,0,5,56.092613617812574
68,instrument_4,operator_2,50,0,5,0,5,64.90064339987153
69,instrument_2,operator_2,50,0,5,0,5,46.24738824200092
70,instrument_3,operator_3,50,0,5,0,5,61.84984184836133
71,instrument_2,operator_1,50,0,5,0,5,48.96018404855895
72,instrument_5,operator_2,50,2,6,0,5,57.737245689152026
73,instrument_2,operator_1,50,0,5,0,5,55.37280916702082
74,instrument_4,operator_3,50,0,5,0,5,43.933818637863
75,instrument_4,operator_1,50,0,5,0,5,46.88251933918052
76,instrument_5,operator_1,50,2,6,0,5,60.85230673572959
77,instrument_3,operator_3,50,0,5,0,5,52.49331308120034
